Index, Time, X, Y, Distance, Speed, vx, vy, X_s, Y_s, Sat_Speed, vxs, vys, Dist_to_Moon
0, 0.0000000000000000, 384400000.0000000000000000, 0.0000000000000000, 384400000.0000000000000000, 1023.1570000000000000, 0.0000000000000000, 1023.1570000000000000, 380972854.7917784500000000, -573507.4208446819100000, 2450.0000000000000000, -2416.3997237662170000, -404.3666343586597200, 3474799.9999999832000000
1, 100.0000000000000000, 384400000.0000000000000000, 102315.7000000000000000, 384400013.6166783000000000, 1023.1569637598026000, -0.2697361765758385, 1023.1569282043556000, 380731214.8194018000000000, -613944.0842805479200000, 2415.1827155208271000, -2382.2236969930673000, -397.6402983039308200, 3738049.3281863709000000
2, 200.0000000000000000, 384399973.0263823300000000, 204631.3928204355500000, 384400027.4930926600000000, 1023.1569268348621000, -0.5394723050125735, 1023.1567846130873000, 380492992.4497025000000000, -653708.1141109409500000, 2384.8422310704873000, -2352.5608414030844000, -391.0625967720152400, 4000155.4889419763000000
3, 300.0000000000000000, 384399919.0791518100000000, 306947.0712817442800000, 384400041.6292420600000000, 1023.1568892251817000, -0.8092083658358706, 1023.1565692262212000, 380257736.3655622000000000, -692814.3737881424600000, 2358.1725524707226000, -2326.5779576032014000, -384.7243096311929700, 4261126.6796246273000000
4, 400.0000000000000000, 384399838.1583152400000000, 409262.7282043664000000, 384400056.0251255000000000, 1023.1568509307638000, -1.0789443395714093, 1023.1562820437889000, 380025078.5698018700000000, -731286.8047512617200000, 2334.5490032396983000, -2303.6336702299750000, -378.6699907706487200, 4520992.6669278070000000
5, 500.0000000000000000, 384399730.2638812700000000, 511578.3564087452800000, 384400070.6807419700000000, 1023.1568119516115000, -1.3486802067448840, 1023.1559230658273000, 379794715.2027788800000000, -769153.8038283266400000, 2313.4804313663981000, -2283.2267854711085000, -372.9170851845276500, 4779794.8260616129000000
6, 600.0000000000000000, 384399595.3958606100000000, 613893.9487153280100000, 384400085.5960903800000000, 1023.1567722877276000, -1.6184159478820059, 1023.1554922923790000, 379566392.5242317900000000, -806445.5123467793500000, 2294.5756074812284000, -2264.9602815455619000, -367.4671978134886700, 5037580.1912199156000000
7, 700.0000000000000000, 384399433.5542658000000000, 716209.4979445659600000, 384400100.7711696000000000, 1023.1567319391150000, -1.8881515435085052, 1023.1549897234919000, 379339896.4960772400000000, -843192.2321281281800000, 2277.5191919059930000, -2248.5157495248977000, -362.3128394614437300, 5294397.8882340370000000
8, 800.0000000000000000, 384399244.7391114200000000, 818524.9969169151700000, 384400116.2059786300000000, 1023.1566909057768000, -2.1578869741501321, 1023.1544153592195000, 379115044.9211247600000000, -879423.5160742725700000, 2262.0542681443203000, -2233.6349478197922000, -357.4415083730651800, 5550297.0072942320000000
9, 900.0000000000000000, 384399028.9504140000000000, 920840.4384528371700000, 384400131.9005162700000000, 1023.1566491877161000, -2.4276222203326587, 1023.1537691996206000, 378891681.4263427900000000, -915167.6669115790900000, 2247.9694586074443000, -2220.1062836123861000, -352.8381729584351100, 5805325.3581394721000000
10, 1000.0000000000000000, 384398786.1881919500000000, 1023155.8153727992000000, 384400147.8547814500000000, 1023.1566067849358000, -2.6973572625818805, 1023.1530512447596000, 378669670.7979815600000000, -950451.4842074225900000, 2235.0892888134285000, -2207.7547628575162000, -348.4867803066137000, 6059528.7710598325000000
11, 1100.0000000000000000, 384398516.4524657100000000, 1125471.1204972751000000, 384400164.0687730300000000, 1023.1565636974391000, -2.9670920814236177, 1023.1522614947064000, 378448895.3216958000000000, -985300.1622380840100000, 2223.2668887780364000, -2196.4344197324667000, -344.3711639369246900, 6312950.7369948700000000
12, 1200.0000000000000000, 384398219.7432575800000000, 1227786.3466467457000000, 384400180.5424898300000000, 1023.1565199252293000, -3.2368266573837179, 1023.1513999495364000, 378229251.8797225400000000, -1019737.2786317765000000, 2212.3783992692970000, -2186.0225438938842000, -340.4755778922891500, 6565632.2580169886000000
13, 1300.0000000000000000, 384397896.0605918200000000, 1330101.4866416994000000, 384400197.2759305200000000, 1023.1564754683096000, -3.5065609709880565, 1023.1504666093304000, 378010649.6253331300000000, -1053784.8364210054000000, 2202.3186377245374000, -2176.4152286859658000, -336.7849973093776700, 6817611.8271730766000000
14, 1400.0000000000000000, 384397545.4044947000000000, 1432416.5333026324000000, 384400214.2690941100000000, 1023.1564303266833000, -3.7762950027625397, 1023.1494614741745000, 377793008.1024645600000000, -1087463.3361519433000000, 2192.9977060656865000, -2167.5239019707392000, -333.2852729943309700, 7068925.4862666400000000
15, 1500.0000000000000000, 384397167.7749944300000000, 1534731.4794500498000000, 384400231.5219792100000000, 1023.1563845003537000, -4.0460287332331051, 1023.1483845441606000, 377576255.7122674600000000, -1120791.8634513763000000, 2184.3383106853471000, -2159.2725963467669000, -329.9631952106308300, 7319606.9288008027000000
16, 1600.0000000000000000, 384396763.1721211100000000, 1637046.3179044658000000, 384400249.0345847000000000, 1023.1563379893244000, -4.3157621429257231, 1023.1472358193860000, 377360328.4526327800000000, -1153788.1829724393000000, 2176.2736265198700000, -2151.5957817161598000, -326.8065017516837500, 7569687.6271683471000000
17, 1700.0000000000000000, 384396331.5959067900000000, 1739361.0414864044000000, 384400266.8069092000000000, 1023.1562907935985000, -4.5854952123663990, 1023.1460152999532000, 377145168.8744611700000000, -1186468.8331476077000000, 2168.7455808404038000, -2144.4366298413015000, -323.8038526788414500, 7819196.9708009996000000
