Index, Time, X, Y, Distance, Speed, vx, vy
0, 0.0000000000000000, 0.0000000000000000, 6771000.0000000000000000, 6771000.0000000000000000, 7670.1000000000004000, 7670.1000000000004000, 0.0000000000000000
1, 1.0000000000000000, 7670.1000000000004000, 6771000.0000000000000000, 6771004.3442929508000000, 7670.0950788467208000, 7670.0901520065700000, -8.6935976737554714
2, 2.0000000000000000, 15340.1901520065690000, 6770991.3064023266000000, 6771008.6835574051000000, 7670.0901633992489000, 7670.0704560702206000, -17.3871674713130910
3, 3.0000000000000000, 23010.2606080767910000, 6770973.9192348551000000, 6771013.0177878011000000, 7670.0852536638740000, 7670.0409122540414000, -26.0806982501184590
4, 4.0000000000000000, 30680.3015203308310000, 6770947.8385366052000000, 6771017.3469785843000000, 7670.0803496468789000, 7670.0015206336993000, -34.7741788677526670
5, 5.0000000000000000, 38350.3030409645290000, 6770913.0643577371000000, 6771021.6711242050000000, 7670.0754513545371000, 7669.9522812974392000, -43.4675981819464500
6, 6.0000000000000000, 46020.2553222619680000, 6770869.5967595549000000, 6771025.9902191209000000, 7670.0705587931152000, 7669.8931943460830000, -52.1609450505942930
7, 7.0000000000000000, 53690.1485166080530000, 6770817.4358145045000000, 6771030.3042577971000000, 7670.0656719688750000, 7669.8242598930301000, -60.8542083317685750
8, 8.0000000000000000, 61359.9727765010830000, 6770756.5816061730000000, 6771034.6132347044000000, 7670.0607908880675000, 7669.7454780642547000, -69.5473768837337050
9, 9.0000000000000000, 69029.7182545653340000, 6770687.0342292888000000, 6771038.9171443181000000, 7670.0559155569390000, 7669.6568489983092000, -78.2404395649602260
10, 10.0000000000000000, 76699.3751035636380000, 6770608.7937897239000000, 6771043.2159811249000000, 7670.0510459817251000, 7669.5583728463198000, -86.9333852341389670
11, 11.0000000000000000, 84368.9334764099620000, 6770521.8604044896000000, 6771047.5097396132000000, 7670.0461821686577000, 7669.4500497719901000, -95.6262027501951620
12, 12.0000000000000000, 92038.3835261819480000, 6770426.2342017395000000, 6771051.7984142797000000, 7670.0413241239594000, 7669.3318799515973000, -104.3188809723025500
13, 13.0000000000000000, 99707.7154061335460000, 6770321.9153207671000000, 6771056.0819996297000000, 7670.0364718538449000, 7669.2038635739946000, -113.0114087598975500
14, 14.0000000000000000, 107376.9192697075300000, 6770208.9039120069000000, 6771060.3604901703000000, 7670.0316253645233000, 7669.0660008406076000, -121.7037749726933400
15, 15.0000000000000000, 115045.9852705481500000, 6770087.2001370341000000, 6771064.6338804197000000, 7670.0267846621946000, 7668.9182919654368000, -130.3959684706940200
16, 16.0000000000000000, 122714.9035625135900000, 6769956.8041685633000000, 6771068.9021648997000000, 7670.0219497530516000, 7668.7607371750555000, -139.0879781142086800
17, 17.0000000000000000, 130383.6642996886400000, 6769817.7161904490000000, 6771073.1653381418000000, 7670.0171206432806000, 7668.5933367086109000, -147.7797927638656000
18, 18.0000000000000000, 138052.2576363972600000, 6769669.9363976847000000, 6771077.4233946800000000, 7670.0122973390589000, 7668.4160908178210000, -156.4714012806262800
19, 19.0000000000000000, 145720.6737272150900000, 6769513.4649964040000000, 6771081.6763290586000000, 7670.0074798465585000, 7668.2289997669759000, -165.1627925257996600
20, 20.0000000000000000, 153388.9027269820800000, 6769348.3022038778000000, 6771085.9241358256000000, 7670.0026681719428000, 7668.0320638329385000, -173.8539553610561100
21, 21.0000000000000000, 161056.9347908150200000, 6769174.4482485168000000, 6771090.1668095384000000, 7669.9978623213656000, 7667.8252833051401000, -182.5448786484417100
22, 22.0000000000000000, 168724.7600741201600000, 6768991.9033698682000000, 6771094.4043447580000000, 7669.9930623009777000, 7667.6086584855839000, -191.2355512503922300
23, 23.0000000000000000, 176392.3687326057400000, 6768800.6678186180000000, 6771098.6367360549000000, 7669.9882681169183000, 7667.3821896888412000, -199.9259620297473200
24, 24.0000000000000000, 184059.7509222946000000, 6768600.7418565881000000, 6771102.8639780041000000, 7669.9834797753219000, 7667.1458772420538000, -208.6160998497645900
25, 25.0000000000000000, 191726.8967995366500000, 6768392.1257567387000000, 6771107.0860651881000000, 7669.9786972823122000, 7666.8997214849314000, -217.3059535741337500
26, 26.0000000000000000, 199393.7965210215800000, 6768174.8198031643000000, 6771111.3029921949000000, 7669.9739206440108000, 7666.6437227697515000, -225.9955120669907300
27, 27.0000000000000000, 207060.4402437913200000, 6767948.8242910970000000, 6771115.5147536211000000, 7669.9691498665261000, 7666.3778814613588000, -234.6847641929317400
28, 28.0000000000000000, 214726.8181252526700000, 6767714.1395269036000000, 6771119.7213440677000000, 7669.9643849559616000, 7666.1021979371635000, -243.3736988170274500
29, 29.0000000000000000, 222392.9203231898400000, 6767470.7658280870000000, 6771123.9227581462000000, 7669.9596259184145000, 7665.8166725871433000, -252.0623048048370500
30, 30.0000000000000000, 230058.7369957770000000, 6767218.7035232820000000, 6771128.1189904697000000, 7669.9548727599713000, 7665.5213058138397000, -260.7505710224223800
31, 31.0000000000000000, 237724.2583015908300000, 6766957.9529522592000000, 6771132.3100356618000000, 7669.9501254867137000, 7665.2160980323588000, -269.4384863363620800
32, 32.0000000000000000, 245389.4743996232000000, 6766688.5144659225000000, 6771136.4958883496000000, 7669.9453841047134000, 7664.9010496703713000, -278.1260396137656100
33, 33.0000000000000000, 253054.3754492935800000, 6766410.3884263085000000, 6771140.6765431706000000, 7669.9406486200369000, 7664.5761611681110000, -286.8132197222873900
34, 34.0000000000000000, 260718.9516104616900000, 6766123.5752065862000000, 6771144.8519947650000000, 7669.9359190387431000, 7664.2414329783724000, -295.5000155301409600
35, 35.0000000000000000, 268383.1930434400600000, 6765828.0751910564000000, 6771149.0222377842000000, 7669.9311953668803000, 7663.8968655665121000, -304.1864159061130400
36, 36.0000000000000000, 276047.0899090065500000, 6765523.8887751503000000, 6771153.1872668825000000, 7669.9264776104919000, 7663.5424594104488000, -312.8724097195776000
37, 37.0000000000000000, 283710.6323684169900000, 6765211.0163654303000000, 6771157.3470767215000000, 7669.9217657756135000, 7663.1782150006602000, -321.5579858405100100
38, 38.0000000000000000, 291373.8105834176500000, 6764889.4583795900000000, 6771161.5016619712000000, 7669.9170598682731000, 7662.8041328401823000, -330.2431331395012000
39, 39.0000000000000000, 299036.6147162578400000, 6764559.2152464502000000, 6771165.6510173073000000, 7669.9123598944889000, 7662.4202134446105000, -338.9278404877715600
40, 40.0000000000000000, 306699.0349297024700000, 6764220.2874059621000000, 6771169.7951374110000000, 7669.9076658602753000, 7662.0264573420973000, -347.6120967571852700
41, 41.0000000000000000, 314361.0613870445500000, 6763872.6753092045000000, 6771173.9340169728000000, 7669.9029777716351000, 7661.6228650733510000, -356.2958908202642200
42, 42.0000000000000000, 322022.6842521178800000, 6763516.3794183843000000, 6771178.0676506888000000, 7669.8982956345653000, 7661.2094371916373000, -364.9792115502022500
43, 43.0000000000000000, 329683.8936893095400000, 6763151.4002068341000000, 6771182.1960332599000000, 7669.8936194550570000, 7660.7861742627765000, -373.6620478208792000
44, 44.0000000000000000, 337344.6798635723000000, 6762777.7381590130000000, 6771186.3191593979000000, 7669.8889492390908000, 7660.3530768651408000, -382.3443885068748500
45, 45.0000000000000000, 345005.0329404374400000, 6762395.3937705057000000, 6771190.4370238166000000, 7669.8842849926414000, 7659.9101455896580000, -391.0262224834832000
46, 46.0000000000000000, 352664.9430860271100000, 6762004.3675480224000000, 6771194.5496212412000000, 7669.8796267216740000, 7659.4573810398060000, -399.7075386267265500
